"Костюм для новорожденных для выписки с роддома,150 грн.,""Кривой Рог, Жовтневый"",https://www.olx.ua/obyavlenie/kostyum-dlya-novorozhdennyh-dlya-vypiski-s-roddoma-IDGDDCc.html?sd=1#e8fb414f0a"
"Бодик.Комбинезон.Человечек.Вещи для новорожденных,100 грн.,""Кривой Рог, Жовтневый"",https://www.olx.ua/obyavlenie/bodik-kombinezon-chelovechek-veschi-dlya-novorozhdennyh-IDGDDew.html?sd=1#e8fb414f0a"
"19 вещей для новорожденного за 200 грн,200 грн.,""Кривой Рог, Саксаганский"",https://www.olx.ua/obyavlenie/19-veschey-dlya-novorozhdennogo-za-200-grn-IDF21lG.html?sd=1#e8fb414f0a"
"Шапочка для новорожденного до 4-5 мес.,50 грн.,""Кривой Рог, Дзержинский"",https://www.olx.ua/obyavlenie/shapochka-dlya-novorozhdennogo-do-4-5-mes-IDGDyoS.html?sd=1#e8fb414f0a"
"Ползунки для новорожденных,30 грн.,""Кривой Рог, Долгинцевский"",https://www.olx.ua/obyavlenie/polzunki-dlya-novorozhdennyh-IDGlzSo.html?sd=1#e8fb414f0a"
"Костюм для новорожденного,100 грн.,""Кривой Рог, Центрально-Городской"",https://www.olx.ua/obyavlenie/kostyum-dlya-novorozhdennogo-IDFXIEy.html#e8fb414f0a"
"Зима осень теплая шапочка на флисе для новорожденных,75 грн.,""Кривой Рог, Жовтневый"",https://www.olx.ua/obyavlenie/zima-osen-teplaya-shapochka-na-flise-dlya-novorozhdennyh-IDoLL4a.html?sd=1#e8fb414f0a"
"Шапка для новорожденных.,70 грн.,""Кривой Рог, Дзержинский"",https://www.olx.ua/obyavlenie/shapka-dlya-novorozhdennyh-IDD51bz.html#e8fb414f0a"
"Продаю конверт для новорожденных,100 грн.,""Кривой Рог, Саксаганский"",https://www.olx.ua/obyavlenie/prodayu-konvert-dlya-novorozhdennyh-IDDt9XX.html#e8fb414f0a"
"Набор для новорожденного,400 грн.,""Кривой Рог, Жовтневый"",https://www.olx.ua/obyavlenie/nabor-dlya-novorozhdennogo-IDEvNIg.html?sd=1#e8fb414f0a"
"Продам комбинезон для новорожденного малыша.,100 грн.,""Кривой Рог, Жовтневый"",https://www.olx.ua/obyavlenie/prodam-kombinezon-dlya-novorozhdennogo-malysha-IDBKt3K.html#e8fb414f0a"
"Деми Шапочка для новорожденного на флисе от 0 до 5 месяцев,50 грн.,""Кривой Рог, Жовтневый"",https://www.olx.ua/obyavlenie/demi-shapochka-dlya-novorozhdennogo-na-flise-ot-0-do-5-mesyatsev-IDfLjni.html#e8fb414f0a"
"Комбез на новорожденного,150 грн.,""Кривой Рог, Жовтневый"",https://www.olx.ua/obyavlenie/kombez-na-novorozhdennogo-IDFCKYS.html?sd=1#e8fb414f0a"
"Кеды для новорожденных,30 грн.,""Кривой Рог, Долгинцевский"",https://www.olx.ua/obyavlenie/kedy-dlya-novorozhdennyh-IDBAhg5.html#e8fb414f0a"
"Продам конверт для новорожденного,50 грн.,""Кривой Рог, Долгинцевский"",https://www.olx.ua/obyavlenie/prodam-konvert-dlya-novorozhdennogo-IDGkD2o.html?sd=1#e8fb414f0a"
"Теплый конверт для новорожденных,100 грн.,""Кривой Рог, Саксаганский"",https://www.olx.ua/obyavlenie/teplyy-konvert-dlya-novorozhdennyh-IDCBPWv.html#e8fb414f0a"
